,train_loss,val_loss,train_acc,val_acc
0,5.833049036253249,5.242503592887239,0.006247211066488174,0.0124777183600713
1,4.9248368055998135,4.945597614621522,0.03480589022757697,0.0249554367201426
2,4.458442233492891,4.8682273602953146,0.06693440428380187,0.05169340463458111
3,4.03689845307285,4.77251878269216,0.12315930388219544,0.0481283422459893
4,3.6899171402176703,4.597832171037235,0.18741633199464525,0.0909090909090909
5,3.3703777811347453,4.564204633342178,0.2543507362784471,0.0980392156862745
6,3.0780036350490256,4.484017493253085,0.32307005800981703,0.1087344028520499
7,2.784094896448451,4.528683552767504,0.39669790272199906,0.0909090909090909
8,2.5637816258276853,4.404834491471344,0.45381526104417674,0.1372549019607843
9,2.3257123126030392,4.283433015758766,0.5185185185185185,0.1746880570409982
10,2.114222569850767,4.315225271830159,0.5814368585452923,0.15864527629233507
11,1.939181663797456,4.332500805404309,0.6296296296296297,0.1622103386809269
12,1.800506577593894,4.30294531211921,0.6434627398482821,0.1532976827094474
13,1.6388552412290969,4.3122405563871276,0.6947791164658635,0.1818181818181818
14,1.5099067760333054,4.370560376189396,0.7157518964747881,0.1532976827094474
15,1.4145910237740853,4.33261476396027,0.7443105756358768,0.1639928698752228
16,1.2798483371202671,4.346191301702816,0.7782240071396697,0.1532976827094474
17,1.187833600999627,4.344303862933806,0.7942882641677822,0.1693404634581105
18,1.1003905840081758,4.319043376229026,0.8063364569388666,0.1889483065953654
19,1.0040410942182323,4.2771697341864545,0.8286479250334672,0.19429590017825307
20,0.9583005425867253,4.377291584609877,0.8447121820615796,0.1978609625668449
21,0.8618310597899342,4.335257151547601,0.8558679161088799,0.1907308377896613
22,0.81189445096007,4.3410141502047175,0.8589915216421241,0.1996434937611408
23,0.7882348312857107,4.4077098718089,0.8710397144132084,0.1889483065953654
24,0.727020539805486,4.504895610605332,0.8768406961178045,0.1729055258467023
25,0.6929101439152164,4.457287274579951,0.892458723784025,0.1818181818181818
26,0.6184551996718768,4.378180715489514,0.9013833110218652,0.23351158645276293
27,0.6139392289451487,4.4263696075548244,0.8995983935742972,0.22103386809269163
28,0.5720157881551212,4.4630760838428705,0.9103078982597054,0.213903743315508
29,0.5237930013047217,4.4880654267873785,0.9183400267737616,0.2085561497326203
